point	title	description	icon
48.5782200,7.7344300	Rue de Molsheim / Tram Musée d'art moderne (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5791000,7.7351400	Angle rues de Molsheim et de Wasselonne (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5799800,7.7451800	Place Saint-Thomas (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5763300,7.7358300	Rue de Saales (Gare)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5791000,7.7401700	Angle des ponts couverts et de la rue du Cygne (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5777600,7.7383600	Angle de la rue du Cygne et du pont Mathis (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5813600,7.7387100	Angle du pont de l'Abattoir et du quai Turckheim (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5783428,7.7494773	CCTV	video surveillance	http://www.leretourdelautruche.com/map/cctv/cctv.png
48.5815100,7.7525200	Rue de la Râpe (mars 2010) (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5815400,7.7484400	Place Gutenberg (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5805100,7.7469500	Angle des rues des Serruriers et de la Division Leclerc (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5811700,7.7463600	Angle de la Grand'Rue et de la rue de la Division Leclerc (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5793900,7.7508700	Pont du Corbeau (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5803400,7.7555300	Rue des Bateliers (Krutenau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5802100,7.7490800	Rue des Tonneliers / Place des Tripiers (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5783236,7.7494667	Rue de la Ière Armée (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5797100,7.7538200	Rue Sainte-Madeleine (Krutenau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5802600,7.7511400	Rue du Maroquin / Musée historique (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5786100,7.7486100	Pont St-Nicolas (Krutenau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5811800,7.7503000	Place de la Cathédrale / Poste (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5797300,7.7479100	Angle des rues de la Division Leclerc et de l'Ail (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5814600,7.7484600	Place Gutenberg (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5812500,7.7515100	Place du Château (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5793000,7.7508500	Place du Corbeau (Krutenau)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5745100,7.7379000	Angle du quai Louis Pasteur et du pont du Heiritz (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
48.5749600,7.7426800	Hôpital civil / Nouvelle entrée (Centre)	video surveillancetype: public	http://www.leretourdelautruche.com/map/cctv/cctv_public.png
