point	title	description	iconSize	iconOffset	icon
49.2058067,2.5814282	Senlis 	12 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.2799986,3.2804792	Serignan 	10 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	31,31	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
45.8873526,6.1012144	Seynod 	23 caméras</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	33,33	-17,-17	http://www.leretourdelautruche.com/map/cctv/cctv1.png
49.2024617,6.9278602	Stiring-Wendel	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
48.5815640,7.7428580	Strasbourg	Nombre de caméras inconnu	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.8022532,4.6567930	Tarascon	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.2316143,0.0735046	Tarbes	Nombre de caméras inconnu</br>Source : Co-financement de la vidéo-protection sur 75 sites prioritaires 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
49.3579080,6.1684562	Thionville 	Nombre de caméras inconnu</br>Source : Rapport du ministère de l'Intérieur sur l'efficacité de la vidéoprotection 	30,30	-15,-15	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.1212559,5.9314235	Toulon	30 (en 2009) + 4 en projet</br>Coût :90 000 € pour les quatre dernières</br>Source : <a href="http://www.ldh-toulon.net/spip.php?article3350">http://www.ldh-toulon.net/spip.php?article3350</> 	34,34	-17,-17	http://www.leretourdelautruche.com/map/cctv/cctv1.png
43.6044897,1.4448053	Toulouse	17 en 2009 selon Luceor/ mais 21 en 2007 selon Dépêche</br>Coût :400 000€ investis et 600 000/an fonctionnement </br>Source : <a href="http://www.luceor.com/IMG/pdf/LETTRE_NUMERO_2.pdf">http://www.luceor.com/IMG/pdf/LETTRE_NUMERO_2.pdf</>          <a href="http://www.ladepeche.fr/article/2007/09/03/13206-Toulouse-L-arrivee-des-cameras-de-videosurveillance.html">http://www.ladepeche.fr/article/2007/09/03/13206-Toulouse-L-arrivee-des-cameras-de-videosurveillance.html</> 	32,32	-16,-16	http://www.leretourdelautruche.com/map/cctv/cctv1.png
